Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2015-06-09,8026.5,8057.15,8005.15,8022.4,140217686.0,6442.05
2015-06-08,8124.35,8131.0,8030.55,8044.15,140075743.0,6230.61
2015-06-05,8119.15,8191.0,8100.15,8114.7,167055308.0,7588.4
2015-06-04,8155.15,8160.05,8056.75,8130.65,159470840.0,7560.49
2015-06-03,8232.45,8236.7,8094.15,8135.1,176661646.0,7920.26
2015-06-02,8442.8,8445.35,8226.05,8236.45,151337661.0,8083.17
2015-06-01,8417.25,8467.15,8405.4,8433.4,125990614.0,7254.01
2015-05-29,8327.1,8443.9,8305.7,8433.65,375232198.0,20736.2
2015-05-28,8345.7,8364.5,8270.15,8319.0,239549060.0,11449.91
2015-05-27,8302.75,8342.85,8277.95,8334.6,170583401.0,8131.59
2015-05-26,8377.1,8378.9,8320.05,8339.35,120428892.0,5908.3
2015-05-25,8438.15,8441.95,8364.15,8370.25,125051166.0,5555.29
2015-05-22,8432.5,8489.55,8420.6,8458.95,193080657.0,8261.69
2015-05-21,8434.5,8446.35,8382.5,8421.0,148189485.0,7641.6
2015-05-20,8392.65,8440.35,8391.45,8423.25,127388797.0,6151.44
2015-05-19,8356.2,8427.8,8335.0,8365.65,144642344.0,7266.52
2015-05-18,8284.95,8384.6,8271.95,8373.65,153340463.0,7459.18
2015-05-15,8240.3,8279.2,8212.2,8262.35,133838055.0,6463.64
2015-05-14,8232.45,8236.25,8137.3,8224.2,138964395.0,6763.72
2015-05-13,8181.55,8254.95,8089.8,8235.45,175015183.0,8391.93
2015-05-12,8326.15,8326.65,8115.3,8126.95,178753978.0,8779.53
2015-05-11,8243.2,8332.75,8224.65,8325.25,197882948.0,8396.12
2015-05-08,8131.5,8224.95,8123.45,8191.5,188776090.0,8961.33
2015-05-07,8077.0,8122.6,7997.15,8057.3,166563657.0,8443.96
2015-05-06,8316.6,8331.95,8083.0,8097.0,212509839.0,10894.12
2015-05-05,8338.4,8355.65,8280.6,8324.8,156019941.0,8138.54
2015-05-04,8230.05,8346.0,8220.45,8331.95,136913823.0,7856.18
2015-04-30,8224.5,8229.4,8144.75,8181.5,281696257.0,14755.35
2015-04-29,8274.8,8308.2,8219.2,8239.75,174958511.0,8571.95
2015-04-28,8215.55,8308.0,8185.15,8285.6,183754628.0,9560.13
2015-04-27,8330.55,8334.45,8202.35,8213.8,174706337.0,10143.36
2015-04-24,8405.7,8413.3,8273.35,8305.25,177843969.0,10984.24
2015-04-23,8478.2,8504.95,8361.85,8398.3,169840748.0,9801.34
2015-04-22,8400.4,8449.95,8284.7,8429.7,176926942.0,10002.48
2015-04-21,8416.1,8469.35,8352.7,8377.75,,
2015-04-20,8618.8,8619.95,8422.75,8448.1,154492312.0,8930.38
2015-04-17,8698.05,8699.85,8596.7,8606.0,155474164.0,9134.37
2015-04-16,8757.05,8760.0,8645.65,8706.7,149337173.0,8268.33
2015-04-15,8844.75,8844.8,8722.4,8750.2,170458015.0,8908.26
2015-04-13,8801.75,8841.65,8762.1,8834.0,122833397.0,6242.71
2015-04-10,8774.35,8787.4,8733.6,8780.35,141464357.0,7119.96
2015-04-09,8756.2,8785.5,8682.45,8778.3,158192905.0,8391.19
2015-04-08,8698.95,8730.5,8679.8,8714.4,149617725.0,7889.65
2015-04-07,8684.45,8693.6,8586.85,8660.3,141765381.0,7287.01
2015-04-06,8615.8,8667.55,8573.75,8659.9,150877855.0,7633.0
2015-04-01,8483.7,8603.4,8464.75,8586.25,136312446.0,6863.03
2015-03-31,8527.6,8550.45,8454.15,8491.0,177059509.0,8108.36
2015-03-30,8390.95,8504.55,8380.75,8492.3,142061290.0,6713.2
2015-03-27,8396.0,8413.2,8269.15,8341.4,198979321.0,9528.86
2015-03-26,8474.95,8499.45,8325.35,8342.15,288758332.0,13667.31
